"CUADRO 1 - Nacimientos por área de ocurrencia y sexo, según grupos de edad de la madre, total nacional",columna,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,año,tipo,hoja_origen,cuadro,"CUADRO 1 - Nacimientos por área de ocurrencia y sexo, según grupos de edad de la madre, Total Nacional"
Grupo de edad de la madre,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2025,nacimientos,Cuadro1,cuadro1,
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,nacimientos,Cuadro1,cuadro1,
Total Nacional,243870,125026,118832,12,123378,117229,11,579,574,0,1069,1029,1,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 10-14 Años,1630,807,823,0,777,796,0,9,9,0,21,18,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 15-19 Años,33034,16966,16066,2,16615,15710,2,104,121,0,247,235,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 20-24 Años,63627,32563,31061,3,32102,30624,3,170,170,0,291,267,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 25-29 Años,64935,33229,31702,4,32891,31358,3,135,120,0,203,224,1,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 30-34 Años,48750,25021,23729,0,24785,23509,0,81,82,0,155,138,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 35-39 Años,24871,12874,11994,3,12721,11850,3,50,48,0,103,96,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 40-44 Años,6588,3335,3253,0,3267,3188,0,29,22,0,39,43,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 45-49 Años,416,220,196,0,211,188,0,1,2,0,8,6,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
De 50-54 Años,19,11,8,0,9,6,0,0,0,0,2,2,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro1,cuadro1,
Fecha de actualización: 25 de septiembre de 2025,,,,,,,,,,,,,,,,,2025,nacimientos,Cuadro1,cuadro1,
