columna,columna_1,"CUADRO 3 - Nacimientos por área y sexo, según departamento y municipio de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
,,"Año Corrido 2022, preliminar - (Nacimientos ocurridos y reportados por la fuente, entre el 1 de enero y el 31 de enero de 2022)",,,,,,,,,,,,,,,,,,2022,nacimientos,Cuadro3
,,Volver al índice,,Departamento,,,,Municipio,,,,,,,,,,,,2022,nacimientos,Cuadro3
,,Departamento y municipio de residencia de la madre,,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2022,nacimientos,Cuadro3
,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,nacimientos,Cuadro3
3.0,3000.0,Total Nacional,,46942,23986,22955,1,18120,17289,1,1666,1590,0,3929,3795,0,271,281,0,2022,nacimientos,Cuadro3
5.0,5000.0,05 Antioquia,Total,5482,2793,2689,0,2079,2018,0,190,201,0,524,470,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5001.0,,05001 Medellín,1844,951,893,0,929,873,0,7,11,0,15,9,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5002.0,,05002 Abejorral,16,11,5,0,3,2,0,3,0,0,5,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5004.0,,05004 Abriaquí,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5021.0,,05021 Alejandría,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5030.0,,05030 Amagá,22,12,10,0,3,5,0,2,1,0,7,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5031.0,,05031 Amalfi,28,13,15,0,10,4,0,2,0,0,1,11,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5034.0,,05034 Andes,30,17,13,0,7,3,0,3,3,0,7,7,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5036.0,,05036 Ángelópolis,8,5,3,0,2,2,0,1,0,0,2,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5038.0,,05038 Angostura,11,7,4,0,0,0,0,0,0,0,7,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5040.0,,05040 Anorí,27,16,11,0,8,4,0,0,0,0,8,7,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5042.0,,05042 Santafé de Antioquia,30,14,16,0,8,9,0,1,0,0,5,7,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5044.0,,05044 Anzá,8,4,4,0,2,0,0,1,1,0,1,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5045.0,,05045 Apartadó,139,74,65,0,51,54,0,14,9,0,9,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5051.0,,05051 Arboletes,43,20,23,0,10,10,0,1,1,0,9,12,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5055.0,,05055 Argelia,5,4,1,0,3,0,0,0,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5059.0,,05059 Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5079.0,,05079 Barbosa,29,15,14,0,7,6,0,1,2,0,7,6,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5086.0,,05086 Belmira,6,2,4,0,0,3,0,0,0,0,2,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5088.0,,05088 Bello,376,182,194,0,176,185,0,1,6,0,5,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5091.0,,05091 Betania,8,4,4,0,3,1,0,0,0,0,1,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5093.0,,05093 Betulia,18,11,7,0,1,1,0,1,0,0,9,6,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5101.0,,05101 Ciudad Bolívar,19,8,11,0,2,9,0,0,1,0,6,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5107.0,,05107 Briceño,5,3,2,0,1,0,0,0,0,0,2,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5113.0,,05113 Buriticá,6,4,2,0,2,1,0,1,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5120.0,,05120 Cáceres,21,11,10,0,6,5,0,0,1,0,5,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5125.0,,05125 Caicedo,3,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5129.0,,05129 Caldas,58,23,35,0,17,30,0,1,2,0,5,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5134.0,,05134 Campamento,9,6,3,0,1,0,0,0,0,0,5,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5138.0,,05138 Cañasgordas,12,5,7,0,3,4,0,0,0,0,2,3,0,0,0,0,2022,nacimientos,Cuadro3
