columna,"CUADRO 11 - Defunciones por grupo de edad y sexo, según departamentos de ocurrencia y grupos de causas de defunción  (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro11
,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro11
,Departamento de ocurrencia | Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2024,defunciones,Cuadro11
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro11
3.0,Total Nacional,TOTAL,275778,151018,124705,55,137,91,5,276,234,2,763,492,0,549,434,0,25,24,0,639,541,2,285,260,0,277,265,0,375,325,0,401,325,0,594,418,0,2638,879,1,4890,1145,1,5379,1269,1,5161,1532,3,4501,1853,1,4455,2557,1,4595,2998,3,5512,3919,9,7674,5492,0,10692,7680,5,13300,9821,0,15441,11688,6,16642,13738,0,17017,16207,5,15010,17854,0,9326,14150,2,3613,6632,3,745,1813,1,106,69,4,2024,defunciones,Cuadro11
3.0,,001 Enfermedades infecciosas intestinales,1485,655,830,0,0,0,0,0,0,0,1,0,0,8,4,0,1,0,0,23,17,0,27,26,0,16,26,0,10,8,0,7,1,0,5,1,0,9,7,0,7,2,0,11,5,0,3,9,0,9,6,0,11,5,0,12,9,0,12,16,0,30,29,0,43,42,0,53,49,0,50,75,0,73,98,0,103,122,0,81,125,0,38,99,0,11,35,0,1,13,0,0,1,0,2024,defunciones,Cuadro11
3.0,,002 Tuberculosis y secuelas,1779,1269,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,5,0,2,1,0,0,5,0,2,2,0,6,9,0,38,17,0,73,26,0,89,35,0,63,18,0,83,26,0,69,34,0,70,23,0,84,26,0,118,49,0,129,40,0,131,51,0,115,43,0,90,44,0,74,36,0,21,13,0,7,6,0,1,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,604,328,276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,0,6,3,0,2,5,0,3,7,0,12,23,0,11,12,0,14,7,0,15,6,0,10,6,0,8,11,0,9,5,0,7,11,0,13,7,0,10,20,0,20,15,0,22,13,0,34,22,0,28,25,0,35,23,0,32,22,0,20,21,0,10,4,0,2,3,0,1,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,004 Ciertas enfermedades inmunoprevenibles,63,33,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,3,1,0,2,2,0,2,4,0,3,0,0,1,3,0,6,5,0,2,1,0,2,5,0,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"005 Septicemia, excepto neonatal",885,433,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,2,0,0,3,2,0,4,5,0,3,6,0,1,6,0,3,5,0,5,1,0,5,4,0,8,5,0,5,6,0,8,4,0,12,9,0,16,11,0,26,27,0,31,25,0,50,40,0,51,46,0,54,64,0,55,62,0,49,53,0,21,36,0,8,22,0,3,6,0,0,0,0,2024,defunciones,Cuadro11
