columna,"CUADRO 7 - Defunciones maternas, por grupos de edad, según departamento de residencia y grupos de causas de defunción  (Lista de causas agrupadas 6/67 CIE-10 de OPS)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,2024,defunciones,Cuadro7
,Volver al índice,,,,,,,,,,,,,2024,defunciones,Cuadro7
,"Departamento de residencia | Grupos de causas de defunción 
(Lista de causas agrupadas 6/67 CIE-10 de OPS)",,Total,Grupos de edad,,,,,,,,,,2024,defunciones,Cuadro7
,,,,"10 - 14
 años","15 - 19
 años","20 - 24
 años","25 - 29
 años","30 - 34
 años","35 - 39
 años","40 - 44
 años","45 - 49
 años","50 - 54
 años",Edad desconocida,2024,defunciones,Cuadro7
13.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),22,0,3,7,3,5,2,1,1,0,0,2024,defunciones,Cuadro7
15.0,15 Boyacá,TOTAL,3,0,0,1,0,0,1,1,0,0,0,2024,defunciones,Cuadro7
15.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
15.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",1,0,0,0,0,0,0,1,0,0,0,2024,defunciones,Cuadro7
15.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
15.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
15.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
15.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
15.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),2,0,0,1,0,0,1,0,0,0,0,2024,defunciones,Cuadro7
17.0,17 Caldas,TOTAL,2,0,0,1,0,0,0,1,0,0,0,2024,defunciones,Cuadro7
17.0,,Embarazo terminado en aborto (O00-O08),1,0,0,0,0,0,0,1,0,0,0,2024,defunciones,Cuadro7
17.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
17.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
17.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
17.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
17.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
17.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),1,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
18.0,18 Caquetá,TOTAL,2,0,1,0,0,0,0,1,0,0,0,2024,defunciones,Cuadro7
18.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
18.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
18.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
18.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
18.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
18.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
18.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),2,0,1,0,0,0,0,1,0,0,0,2024,defunciones,Cuadro7
19.0,19 Cauca,TOTAL,10,0,0,2,2,1,2,3,0,0,0,2024,defunciones,Cuadro7
19.0,,Embarazo terminado en aborto (O00-O08),2,0,0,0,0,0,2,0,0,0,0,2024,defunciones,Cuadro7
19.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",2,0,0,1,1,0,0,0,0,0,0,2024,defunciones,Cuadro7
19.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
19.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
19.0,,Complicaciones del trabajo del parto y del parto (O60-O75),1,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro7
19.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
19.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),5,0,0,1,1,0,0,3,0,0,0,2024,defunciones,Cuadro7
20.0,20 Cesar,TOTAL,16,0,1,2,3,8,1,1,0,0,0,2024,defunciones,Cuadro7
20.0,,Embarazo terminado en aborto (O00-O08),1,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro7
20.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",6,0,1,1,0,2,1,1,0,0,0,2024,defunciones,Cuadro7
20.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),2,0,0,1,0,1,0,0,0,0,0,2024,defunciones,Cuadro7
20.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),1,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro7
20.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
20.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
20.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),6,0,0,0,3,3,0,0,0,0,0,2024,defunciones,Cuadro7
23.0,23 Córdoba,TOTAL,16,0,2,2,4,2,3,3,0,0,0,2024,defunciones,Cuadro7
23.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
23.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",2,0,1,0,1,0,0,0,0,0,0,2024,defunciones,Cuadro7
23.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
23.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),1,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
23.0,,Complicaciones del trabajo del parto y del parto (O60-O75),1,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro7
23.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),2,0,1,0,1,0,0,0,0,0,0,2024,defunciones,Cuadro7
23.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),10,0,0,1,2,1,3,3,0,0,0,2024,defunciones,Cuadro7
25.0,25 Cundinamarca,TOTAL,24,0,1,5,9,5,3,1,0,0,0,2024,defunciones,Cuadro7
25.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
25.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",1,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro7
25.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),1,0,0,0,0,0,1,0,0,0,0,2024,defunciones,Cuadro7
25.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),1,0,0,0,1,0,0,0,0,0,0,2024,defunciones,Cuadro7
25.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
25.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),2,0,0,0,2,0,0,0,0,0,0,2024,defunciones,Cuadro7
