"CUADRO 1 - Defunciones por área donde ocurrió la defunción y sexo, según grupos de edad, total nacional",columna,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,año,tipo,hoja_origen
Año 2024,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro1
GRUPOS DE EDAD,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2024,defunciones,Cuadro1
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro1
Total Nacional,275778,151018,124705,55,132243,115429,33,4084,2464,1,13492,6100,15,1199,712,6,2024,defunciones,Cuadro1
Menor 1 hora,233,137,91,5,133,90,4,1,1,0,3,0,1,0,0,0,2024,defunciones,Cuadro1
De 1 a 23 horas,512,276,234,2,265,228,2,3,3,0,8,3,0,0,0,0,2024,defunciones,Cuadro1
De 1 a 6 días,1255,763,492,0,742,479,0,3,3,0,6,4,0,12,6,0,2024,defunciones,Cuadro1
De 7 a 27 días,983,549,434,0,535,430,0,2,0,0,4,4,0,8,0,0,2024,defunciones,Cuadro1
De 28 a 29 días,49,25,24,0,23,24,0,1,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro1
De 1 a 5 meses,1182,639,541,2,603,507,2,8,8,0,24,25,0,4,1,0,2024,defunciones,Cuadro1
De 6 a 11 meses,545,285,260,0,252,220,0,7,6,0,26,28,0,0,6,0,2024,defunciones,Cuadro1
De 1 año,542,277,265,0,235,215,0,7,10,0,28,39,0,7,1,0,2024,defunciones,Cuadro1
De 2 a 4 años,700,375,325,0,308,280,0,15,10,0,46,30,0,6,5,0,2024,defunciones,Cuadro1
De 5 a 9 años,726,401,325,0,340,281,0,10,11,0,46,30,0,5,3,0,2024,defunciones,Cuadro1
De 10 a 14 años,1012,594,418,0,467,353,0,29,4,0,90,53,0,8,8,0,2024,defunciones,Cuadro1
De 15 a 19 años,3518,2638,879,1,2037,722,0,91,21,0,489,124,1,21,12,0,2024,defunciones,Cuadro1
De 20 a 24 años,6036,4890,1145,1,3683,987,0,168,34,0,959,117,1,80,7,0,2024,defunciones,Cuadro1
De 25 a 29 años,6649,5379,1269,1,4157,1098,0,207,38,0,954,125,1,61,8,0,2024,defunciones,Cuadro1
De 30 a 34 años,6696,5161,1532,3,4046,1365,1,175,26,0,884,127,0,56,14,2,2024,defunciones,Cuadro1
De 35 a 39 años,6355,4501,1853,1,3558,1680,1,163,44,0,732,123,0,48,6,0,2024,defunciones,Cuadro1
De 40 a 44 años,7013,4455,2557,1,3661,2340,1,126,47,0,626,157,0,42,13,0,2024,defunciones,Cuadro1
De 45 a 49 años,7596,4595,2998,3,3864,2790,1,132,46,1,560,147,1,39,15,0,2024,defunciones,Cuadro1
De 50 a 54 años,9440,5512,3919,9,4756,3658,6,148,83,0,570,162,2,38,16,1,2024,defunciones,Cuadro1
De 55 a 59 años,13166,7674,5492,0,6766,5194,0,188,83,0,680,185,0,40,30,0,2024,defunciones,Cuadro1
De 60 a 64 años,18377,10692,7680,5,9704,7267,1,222,101,0,709,291,4,57,21,0,2024,defunciones,Cuadro1
De 65 a 69 años,23121,13300,9821,0,12148,9286,0,262,142,0,828,358,0,62,35,0,2024,defunciones,Cuadro1
De 70 a 74 años,27135,15441,11688,6,14057,10989,5,342,188,0,962,454,0,80,57,1,2024,defunciones,Cuadro1
De 75 a 79 años,30380,16642,13738,0,15147,12903,0,390,234,0,1023,544,0,82,57,0,2024,defunciones,Cuadro1
De 80 a 84 años,33229,17017,16207,5,15311,15041,4,463,323,0,1148,760,1,95,83,0,2024,defunciones,Cuadro1
De 85 a 89 años,32864,15010,17854,0,13349,16429,0,462,376,0,1067,947,0,132,102,0,2024,defunciones,Cuadro1
De 90 a 94 años,23478,9326,14150,2,8290,12934,2,270,358,0,687,769,0,79,89,0,2024,defunciones,Cuadro1
De 95 a 99 años,10248,3613,6632,3,3171,6044,0,147,192,0,263,367,2,32,29,1,2024,defunciones,Cuadro1
De 100 años y más,2559,745,1813,1,635,1594,0,42,72,0,66,126,0,2,21,1,2024,defunciones,Cuadro1
Edad desconocida,179,106,69,4,0,1,3,0,0,0,3,1,1,103,67,0,2024,defunciones,Cuadro1
Fecha de actualización: 06 de febrero de 2026,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro1
