columna,"CUADRO 12 - Defunciones por grupos de edad y sexo, según departamentos de residencia y grupos de causas de defunción  (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,año,tipo,hoja_origen
3.0,,008 Hepatitis viral y secuelas,128,76,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,2,0,7,1,0,7,2,0,6,2,0,0,1,0,8,4,0,5,7,0,9,4,0,9,6,0,7,5,0,7,7,0,4,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,009 Enfermedad por el VIH (SIDA),2232,1688,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,84,21,0,202,40,0,236,61,0,213,85,0,208,80,0,166,77,0,154,47,0,123,48,0,110,35,0,75,28,0,58,15,0,30,3,0,9,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,1562,870,692,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,3,0,9,8,0,9,11,0,9,5,0,5,6,0,8,5,0,10,6,0,9,3,0,17,6,0,9,8,0,15,11,0,15,17,0,23,14,0,28,26,0,42,18,0,46,51,0,64,45,0,103,72,0,118,94,0,125,90,0,93,98,0,63,62,0,26,27,0,4,5,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",872,495,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,3,0,3,2,0,4,2,0,8,5,0,13,14,0,20,13,0,33,27,0,50,36,0,62,38,0,72,31,0,69,47,0,61,47,0,39,44,0,38,32,0,12,22,0,6,10,0,0,2,0,0,0,0,2023,defunciones,Cuadro12
3.0,,012 Tumor maligno del esófago,672,446,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,5,4,0,6,3,0,7,5,0,27,7,0,41,16,0,68,33,0,85,29,0,79,44,0,52,29,0,43,35,0,22,13,0,5,7,0,1,1,0,0,0,0,2023,defunciones,Cuadro12
3.0,,013 Tumor maligno del estómago,5313,3165,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,10,8,0,15,19,0,44,53,0,62,59,0,108,100,0,125,131,0,193,143,0,306,193,0,415,204,0,417,225,0,456,230,0,409,228,0,308,249,0,191,185,0,84,85,0,17,26,0,3,6,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"014 Tumor maligno del colon, de la unión rectosigmoidea, recto y ano",4867,2343,2524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,12,7,0,24,9,0,30,28,0,43,41,0,67,59,0,77,103,0,113,142,0,194,229,0,271,263,0,321,289,0,372,348,0,312,302,0,271,297,0,141,236,0,73,137,0,13,26,0,2,6,0,0,0,0,2023,defunciones,Cuadro12
3.0,,015 Tumor maligno del hígado,2174,1088,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,3,1,0,1,2,0,1,1,0,2,2,0,3,2,0,6,6,0,11,5,0,16,12,0,30,18,0,47,42,0,79,77,0,129,93,0,163,140,0,162,165,0,175,184,0,130,162,0,84,114,0,33,41,0,10,16,0,0,1,0,0,0,0,2023,defunciones,Cuadro12
3.0,,016 Tumor maligno de la vesícula biliar y de las vías biliares,1293,455,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,6,2,0,4,26,0,10,22,0,21,41,0,40,77,0,53,101,0,76,128,0,69,122,0,83,118,0,37,101,0,35,59,0,18,29,0,1,7,0,0,1,0,0,0,0,2023,defunciones,Cuadro12
3.0,,017 Tumor maligno del páncreas,2452,1098,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,6,3,0,5,2,0,8,9,0,18,22,0,27,28,0,56,71,0,94,112,0,148,136,0,185,193,0,180,204,0,158,199,0,107,175,0,75,117,0,22,64,0,5,15,0,0,3,0,0,0,0,2023,defunciones,Cuadro12
3.0,,018 Todos los demás tumores malignos de los órganos digestivos y del peritoneo,815,448,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,1,0,6,2,0,7,6,0,15,10,0,31,17,0,32,15,0,47,30,0,47,42,0,58,54,0,70,35,0,59,55,0,39,41,0,24,36,0,7,17,0,1,3,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,019 Tumor maligno de la laringe,367,313,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,3,2,0,6,3,0,5,3,0,14,2,0,46,4,0,56,10,0,47,9,0,47,6,0,50,7,0,23,5,0,11,1,0,2,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"020 Tumor maligno de la tráquea, los bronquios y el pulmón",4761,2667,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,5,1,0,7,4,0,10,6,0,19,13,0,25,31,0,43,45,0,51,83,0,182,145,0,277,202,0,468,307,0,509,315,0,432,341,0,369,287,0,183,195,0,75,81,0,8,30,0,1,6,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"021 Todos los demás tumores malignos de los órganos respiratorios e intratorácicos, excepto tráquea, bronquios y pulmón",287,167,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,3,0,4,0,0,4,1,0,6,1,0,6,5,0,4,3,0,3,8,0,10,7,0,12,10,0,21,13,0,22,17,0,34,12,0,20,12,0,8,13,0,6,8,0,3,5,0,1,0,0,1,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,022 Tumor maligno de los huesos y de los cartílagos articulares,404,223,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,6,9,0,26,16,0,15,10,0,12,6,0,9,5,0,11,7,0,4,2,0,6,3,0,11,13,0,10,16,0,12,14,0,22,13,0,31,18,0,15,15,0,15,10,0,12,17,0,3,3,0,0,1,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,023 Melanoma y otros tumores malignos de la piel,1278,678,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,3,2,0,5,5,0,5,5,0,22,5,0,21,19,0,21,27,0,43,29,0,58,36,0,82,46,0,82,55,0,85,60,0,91,94,0,85,81,0,51,81,0,19,44,0,2,10,0,0,0,0,2023,defunciones,Cuadro12
3.0,,024 Tumor maligno de la mama de la mujer,3815,0,3815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,71,0,0,120,0,0,220,0,0,312,0,0,385,0,0,474,0,0,460,0,0,430,0,0,374,0,0,323,0,0,274,0,0,187,0,0,111,0,0,41,0,0,7,0,0,0,0,2023,defunciones,Cuadro12
3.0,,025 Tumor maligno del cuello del útero,1910,0,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,0,0,96,0,0,125,0,0,154,0,0,196,0,0,183,0,0,212,0,0,198,0,0,179,0,0,165,0,0,119,0,0,124,0,0,76,0,0,41,0,0,7,0,0,2,0,0,0,0,2023,defunciones,Cuadro12
3.0,,026 Tumor maligno de otras partes del útero,827,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,21,0,0,22,0,0,43,0,0,63,0,0,94,0,0,103,0,0,128,0,0,123,0,0,92,0,0,70,0,0,30,0,0,28,0,0,4,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,027 Tumor maligno del ovario,1255,0,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,12,0,0,15,0,0,18,0,0,33,0,0,66,0,0,73,0,0,102,0,0,175,0,0,138,0,0,168,0,0,156,0,0,149,0,0,71,0,0,52,0,0,17,0,0,4,0,0,2,0,0,0,0,2023,defunciones,Cuadro12
3.0,,028 Tumor maligno de la próstata,3421,3421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,30,0,0,105,0,0,221,0,0,370,0,0,498,0,0,659,0,0,632,0,0,539,0,0,275,0,0,71,0,0,11,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,029 Tumor maligno de la vejiga urinaria,624,417,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,5,2,0,2,2,0,4,3,0,8,9,0,17,9,0,24,13,0,46,21,0,76,26,0,63,29,0,68,32,0,53,33,0,38,17,0,9,8,0,0,1,0,0,0,0,2023,defunciones,Cuadro12
3.0,,030 Todos los demás tumores malignos de los órganos urinarios,889,539,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,3,0,1,0,0,1,0,0,1,1,0,5,5,0,7,3,0,9,7,0,24,8,0,37,19,0,44,37,0,68,42,0,86,48,0,84,49,0,71,36,0,43,35,0,41,34,0,11,15,0,2,4,0,1,1,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",1659,952,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,2,0,11,7,0,23,23,0,22,18,0,21,6,0,23,8,0,29,16,0,28,16,0,49,17,0,49,33,0,48,36,0,77,61,0,96,74,0,110,80,0,94,71,0,93,90,0,77,57,0,54,45,0,34,28,0,7,11,0,2,5,0,0,2,0,0,0,0,2023,defunciones,Cuadro12
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,621,194,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,6,0,1,1,0,1,3,0,1,0,0,3,3,0,3,6,0,5,2,0,2,2,0,4,13,0,6,10,0,14,21,0,18,33,0,27,51,0,28,63,0,21,60,0,20,51,0,19,38,0,11,32,0,7,25,0,1,5,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,033 Tumores malignos de sitios mal definidos y secundarios,364,203,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,1,0,0,0,0,2,1,0,4,2,0,1,2,0,3,1,0,6,5,0,15,13,0,20,14,0,23,18,0,23,11,0,33,20,0,22,16,0,17,20,0,14,18,0,9,12,0,3,6,0,2,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,034 Tumor maligno de sitios no especificados,1435,755,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,4,1,0,9,2,0,7,9,0,11,13,0,18,12,0,21,29,0,24,34,0,54,58,0,108,66,0,102,100,0,110,91,0,104,97,0,80,72,0,58,63,0,30,26,0,8,5,0,1,1,0,0,0,0,2023,defunciones,Cuadro12
3.0,,035 Leucemia,1987,1074,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,6,4,0,29,18,0,41,22,0,52,30,0,53,30,0,61,41,0,41,37,0,40,24,0,38,35,0,51,30,0,48,33,0,34,41,0,68,71,0,64,77,0,72,85,0,97,82,0,114,80,0,84,65,0,49,58,0,19,31,0,9,12,0,0,2,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"036 Todos los demás tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",2581,1401,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,3,0,0,6,0,6,6,0,15,8,0,20,13,0,18,15,0,29,20,0,39,30,0,59,38,0,77,54,0,150,94,0,166,147,0,194,159,0,213,180,0,166,139,0,124,138,0,84,85,0,25,37,0,6,6,0,0,1,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"037 Tumores: in situ, benignos y de comportamiento incierto o desconocido y los no especificados",3648,1832,1816,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,2,4,0,2,3,0,2,3,0,10,11,0,9,10,0,16,10,0,17,13,0,35,15,0,21,16,0,41,31,0,37,58,0,57,71,0,70,82,0,91,107,0,180,151,0,215,174,0,259,204,0,238,240,0,227,255,0,189,195,0,79,121,0,27,30,0,3,9,0,0,0,0,2023,defunciones,Cuadro12
3.0,,038 Todos los demás tumores malignos de otras localizaciones,1140,698,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,2,0,1,3,0,23,7,0,30,6,0,44,5,0,47,9,0,36,11,0,34,17,0,46,15,0,35,25,0,49,29,0,65,36,0,71,63,0,63,40,0,49,63,0,49,53,0,27,32,0,15,20,0,7,5,0,1,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"039 Anemias: nutricionales, hemolíticas, aplásticas y otras",688,340,348,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,2,0,2,1,0,4,3,0,4,8,0,7,8,0,5,6,0,9,8,0,13,7,0,10,16,0,7,8,0,15,12,0,7,13,0,7,9,0,29,13,0,16,23,0,24,18,0,33,31,0,31,31,0,43,46,0,34,41,0,25,32,0,10,9,0,0,2,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"040 Defectos de coagulación, púrpura y otras afecciones hemorrágicas y de la sangre y los trastornos que afectan la inmunidad",657,340,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,4,2,0,5,9,0,3,5,0,7,3,0,3,8,0,9,10,0,8,8,0,11,8,0,16,8,0,6,10,0,13,8,0,12,13,0,21,19,0,23,18,0,22,27,0,32,28,0,28,21,0,30,32,0,34,30,0,25,19,0,13,12,0,4,9,0,0,2,0,0,0,0,2023,defunciones,Cuadro12
3.0,,041 Diabetes mellitus,7853,3575,4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,2,8,0,2,6,0,5,10,0,18,12,0,20,21,0,31,25,0,68,58,0,98,84,0,178,144,0,210,258,0,379,357,0,416,451,0,518,523,0,508,580,0,472,628,0,383,572,0,195,373,0,64,128,0,6,37,0,0,0,0,2023,defunciones,Cuadro12
3.0,,042 Deficiencias nutricionales,2093,1060,1033,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,54,35,0,61,34,0,47,47,0,23,19,0,9,6,0,4,7,0,12,8,0,9,3,0,9,5,0,15,8,0,17,14,0,19,7,0,17,17,0,31,15,0,22,15,0,48,34,0,65,37,0,86,60,0,111,76,0,124,121,0,129,169,0,92,172,0,44,97,0,10,27,0,0,0,0,2023,defunciones,Cuadro12
3.0,,043 Todas las demás enfermedades endocrinas y nutricionales,2685,1376,1309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,0,4,8,0,6,5,0,9,5,0,4,2,0,4,5,0,6,7,0,14,6,0,16,19,0,29,20,0,31,21,0,35,34,0,60,30,0,84,45,0,111,61,0,106,78,0,146,94,0,165,114,0,135,135,0,125,175,0,144,196,0,89,144,0,42,77,0,7,21,0,0,0,0,2023,defunciones,Cuadro12
3.0,,044 Trastornos mentales y del comportamiento,2112,924,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,2,1,0,5,2,0,5,1,0,9,3,0,13,4,0,18,4,0,19,4,0,16,4,0,32,14,0,55,20,0,53,32,0,64,57,0,90,93,0,167,173,0,153,285,0,153,276,0,51,162,0,17,50,0,0,0,0,2023,defunciones,Cuadro12
3.0,,045 Meningitis y otras enfermedades inflamatorias del sistema nervioso central,508,307,201,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,8,4,0,3,2,0,4,2,0,6,9,0,5,5,0,10,10,0,12,8,0,19,2,0,11,8,0,14,14,0,15,10,0,18,9,0,17,11,0,21,14,0,28,18,0,24,8,0,16,20,0,23,7,0,26,17,0,11,11,0,8,7,0,2,1,0,3,1,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,046 Epilepsia y otros trastornos episódicos y paroxísticos,1191,698,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,8,5,0,2,8,0,9,12,0,8,11,0,11,7,0,21,16,0,28,25,0,43,27,0,38,30,0,51,23,0,39,38,0,47,22,0,53,33,0,62,20,0,50,32,0,56,26,0,44,33,0,42,31,0,34,32,0,26,28,0,18,23,0,5,10,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,047 Todas las demás enfermedades del sistema nervioso,7083,3155,3928,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,6,0,9,5,0,14,11,0,28,13,0,38,30,0,58,44,0,77,41,0,80,38,0,59,35,0,43,27,0,39,27,0,63,34,0,60,41,0,76,59,0,98,98,0,130,154,0,217,194,0,307,250,0,417,423,0,471,622,0,456,794,0,291,606,0,94,314,0,21,61,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"048 Enfermedades del ojo y sus anexos, del oído y de la apófisis mastoides",48,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2,3,0,2,3,0,2,1,0,2,1,0,2,0,0,1,3,0,5,2,0,0,0,0,1,1,0,0,1,0,0,0,0,2023,defunciones,Cuadro12
